,first_name,genders,use,descriptions
583,Iris,f,Greek Mythology,"Iris f Greek Mythology, English, German, Dutch, Swedish, Norwegian, Danish, Finnish, French, Spanish, Catalan, Italian, Slovene, GreekMeans ""rainbow"" in Greek. Iris was the name of the Greek goddess of the rainbow, also serving as a messenger to the gods. This name can also be given in reference to the word (which derives from the same Greek source) for the iris flower or the coloured part of the eye."
584,Iset,f,Egyptian Mythology (Hypothetical),Iset f Egyptian Mythology (Hypothetical)Reconstructed Egyptian form of Isis.
585,Isha,f,Indian,"Isha f & m Indian, Hindi, Marathi, HinduismMeans ""master, lord"" in Sanskrit. This is a transcription of both the feminine form ईशा and the masculine form ईश (an epithet of the Hindu god Shiva). It is also the name of one of the Upanishads, which are parts of Hindu scripture."
586,Ishkur,m,Sumerian Mythology,"Ishkur m Sumerian MythologyMeaning unknown, of Sumerian origin. This was the name of a Sumerian storm god, later identified by the Akkadians with Adad."
587,Ishtar,f,Semitic Mythology,"Ishtar f Semitic MythologyMeaning unknown. Ishtar was an Akkadian, Assyrian and Babylonian goddess who presided over love, war and fertility. She was cognate with the Canaanite and Phoenician Ashtoreth, and she was also identified with the Sumerian goddess Inanna."
588,Iside,f,Egyptian Mythology (Italianized),Iside f Egyptian Mythology (Italianized)Italian form of Isis.
589,Isis,f,Egyptian Mythology (Hellenized),"Isis f Egyptian Mythology (Hellenized)Greek form of Egyptian ꜣst (reconstructed as Iset or Ueset), possibly from st meaning ""throne"". In Egyptian mythology Isis was the goddess of the sky and nature, the wife of Osiris and the mother of Horus. She was originally depicted wearing a throne-shaped headdress, but in later times she was conflated with the goddess Hathor and depicted having the horns of a cow on her head. She was also worshipped by people outside of Egypt, such as the Greeks and Romans."
590,Ismene,f,Greek Mythology,"Ismene f Greek MythologyPossibly from Greek ἰσμή (isme) meaning ""knowledge"". This was the name of the daughter of Oedipus and Jocasta in Greek legend."
591,Israfil,m,Judeo-Christian Legend,Israfil m Judeo-Christian LegendMeaning unknown. In Islamic tradition this is the name of the angel who will blow the trumpet that signals the coming of Judgement Day. He is sometimes equated with the angels Raphael or Uriel from Judeo-Christian tradition.
592,Italus,m,Roman Mythology,"Italus m Roman MythologyMeans ""of Italy"" in Latin. In Roman legend Italus was the father of Romulus and Remus, the founders of Rome. He supposedly gave his name to the region known as Italia or Italy (in fact the region may have gotten its name from Oscan Víteliú meaning ""land of bulls"")."
593,Iðunn,f,Norse Mythology,"Iðunn f Norse Mythology, Ancient Scandinavian, IcelandicProbably derived from Old Norse ið ""again"" and unna ""to love"". In Norse mythology Iðunn was the goddess of spring and immortality whose responsibility it was to guard the gods' apples of youth."
594,Iuno,f,Roman Mythology,Iuno f Roman MythologyAncient Roman form of Juno.
595,Iuppiter,m,Roman Mythology,Iuppiter m Roman MythologyAncient Roman form of Jupiter.
596,Iuturna,f,Roman Mythology,Iuturna f Roman MythologyLatin form of Juturna.
597,Ixchel,f,Mayan Mythology,"Ixchel f Mayan Mythology, Indigenous American, MayanMeans ""rainbow lady"" in Mayan. Ixchel was the Maya goddess of the earth, the moon, and medicine. She was often depicted with a snake in her hair and crossbones embroidered on her skirt."
598,Izanagi,m,Japanese Mythology,"Izanagi m Japanese MythologyMeans ""male who invites"" in Japanese. In Japanese mythology the god Izanagi was the husband of Izanami. When she died he unsuccessfully journeyed to the underworld to retrieve her. In the purifying rites that followed his return, the gods of the sun, moon and wind were created."
599,Izanami,f,Japanese Mythology,"Izanami f Japanese MythologyMeans ""female who invites"" in Japanese. In Japanese mythology she was a creator goddess, the wife of Izanagi. She died giving birth to Kagutsuchi, the god of fire."
600,Izrail,m,Judeo-Christian Legend,Izrail m Judeo-Christian LegendArabic form of Azrael.
601,Jagadisha,m,Hinduism,"Jagadisha m HinduismMeans ""ruler of the world"" from Sanskrit जगत् (jagat) meaning ""world"" and ईश (isha) meaning ""ruler"". This is another name of the Hindu god Vishnu."
602,Jagannatha,m,Hinduism,"Jagannatha m HinduismMeans ""master of the world"" from Sanskrit जगत् (jagat) meaning ""world"" and नाथ (natha) meaning ""master"". This is a title of the Hindu gods Vishnu and Krishna."
603,Jam,m,Persian Mythology,"Jam m Persian MythologyPersian form of Avestan Yima meaning ""twin"" (related to Sanskrit Yama). This was the name of a mythological king, more commonly called Jamshid."
604,Jamshed,m,Persian,"Jamshed m Persian, Tajik, Persian MythologyAlternate transcription of Persian جمشید (see Jamshid), as well as the regular Tajik form."
605,Jamsheed,m,Persian,"Jamsheed m Persian, Persian MythologyAlternate transcription of Persian جمشید (see Jamshid)."
606,Jamshid,m,Persian,"Jamshid m Persian, Uzbek, Persian MythologyModern Persian form of Avestan Yima Kshaeta, which meant ""shining Jam"". This was the name of a mythological king of Persia. He is known as either Jamshid or Jam, where Jamshid is a combination of his original name and an honourific."
607,Janus,m,Roman Mythology,"Janus m Roman MythologyMeans ""archway"" in Latin. Janus was the Roman god of gateways and beginnings, often depicted as having two faces looking in opposite directions. The month of January is named for him."
608,Jarl,m,Norwegian,"Jarl m Norwegian, Swedish, Danish, Norse Mythology, Ancient ScandinavianMeans ""chieftain, nobleman"" in Old Norse (a cognate of the English word earl). In the Norse poem Rígsþula Jarl is the son of the god Ríg and the founder of the race of warriors."
609,Jason,m,English,"Jason m English, French, Greek Mythology (Anglicized), BiblicalFrom the Greek name Ἰάσων (Iason) meaning ""healer"", derived from Greek ἰάομαι (iaomai) meaning ""to heal"". In Greek mythology Jason was the leader of the Argonauts. After his uncle Pelias overthrew his father Aeson as king of Iolcos, Jason went in search of the Golden Fleece in order to win back the throne. During his journeys he married the sorceress Medea, who helped him gain the fleece and kill his uncle, but who later turned against him when he fell in love with another woman.... [more]"
610,Jasper,m,English,"Jasper m English, Dutch, Judeo-Christian LegendFrom Latin Gaspar, perhaps from the biblical Hebrew word גִּזְבָּר (gizbar) meaning ""treasurer"", derived from Persian ganzabara. This name was traditionally assigned to one of the wise men (also known as the Magi, or three kings) who were said to have visited the newborn Jesus. It has occasionally been used in the English-speaking world since the Middle Ages. The name can also be given in reference to the English word for the gemstone."
611,Jaya,f,Hinduism,"Jaya f & m Hinduism, Tamil, Indian, Telugu, Hindi, MarathiDerived from Sanskrit जय (jaya) meaning ""victory"". This is a transcription of both the feminine form जया (an epithet of the Hindu goddess Durga) and the masculine form जय (borne by several characters in Hindu texts). As a modern personal name, this transcription is both feminine and masculine in southern India, but typically only feminine in the north."
612,Jayanta,m,Hinduism,"Jayanta m Hinduism, Bengali, Indian, AssameseDerived from Sanskrit जयन्त (jayanta) meaning ""victorious"". This is the name of a son of the Hindu god Indra, as well as other figures in Hindu mythology."
613,Jayanti,f,Hinduism,"Jayanti f Hinduism, Indian, HindiFeminine form of Jayanta. This is another name of the Hindu goddess Durga."
614,Jeremiel,m,Biblical,"Jeremiel m Biblical, Judeo-Christian LegendFrom Latin Hieremihel, probably from the Hebrew name Yerachme'el (see Jerahmeel). Jeremiel (also called Remiel or Uriel) is named as an archangel in some verions of the apocryphal book of 2 Esdras (preserved in Latin) in the Old Testament."
615,Jimmu,m,Japanese Mythology,"Jimmu m Japanese MythologyMeans ""divine warrior"", from Japanese 神 (jin) meaning ""god"" and 武 (mu) meaning ""military, martial"". In Japanese legend this was the name of the founder of Japan and the first emperor, supposedly ruling in the 7th century BC."
616,Joachim,m,German,"Joachim m German, French, Polish, Judeo-Christian LegendContracted form of Jehoiachin or Jehoiakim. According to the apocryphal Gospel of James, Saint Joachim was the husband of Saint Anne and the father of the Virgin Mary. Due to his popularity in the Middle Ages, the name came into general use in Christian Europe (though it was never common in England)."
617,Jocasta,f,Greek Mythology (Anglicized),"Jocasta f Greek Mythology (Anglicized)From the Greek name Ἰοκάστη (Iokaste), which is of unknown meaning. In Greek mythology she was the mother Oedipus by the Theban king Laius. In a case of tragic mistaken identity, she married her own son."
618,Jörmungandr,m,Norse Mythology,"Jörmungandr m Norse MythologyFrom Old Norse Jǫrmungandr, derived from jǫrmun ""great, large"" and gandr ""monster, magic, wand"". In Norse mythology Jörmungandr was an enormous sea serpent, also known as the World Serpent because he was said to encircle the world. He was one of the offspring of Loki and Angrboða. During Ragnarök, the battle at end of the world, it is said that he will fight his old enemy Thor and both of them will die."
619,Jǫrmungandr,m,Norse Mythology,Jǫrmungandr m Norse MythologyOld Norse form of Jörmungandr.
620,Joukahainen,m,Finnish Mythology,"Joukahainen m Finnish MythologyMeaning unknown. In the Finnish epic the Kalevala this is the name of a youth who challenges Väinämöinen to a chanting (or spellcasting) duel. Joukahainen loses, and must promise his sister Aino to Väinämöinen."
621,Jove,m,Roman Mythology (Anglicized),"Jove m Roman Mythology (Anglicized)From Latin Iovis, derived from the stem of Iuppiter (see Jupiter). This was another name of the Roman god Jupiter."
622,Juno,f,Roman Mythology,"Juno f Roman MythologyMeaning unknown, possibly related to an Indo-European root meaning ""youth"", or possibly of Etruscan origin. In Roman mythology Juno was the wife of Jupiter and the queen of the heavens. She was the protectress of marriage and women, and was also the goddess of finance."
623,Junon,f,Roman Mythology (Gallicized),Junon f Roman Mythology (Gallicized)French form of Iuno (see Juno).
624,Júpiter,m,"Roman Mythology (Hispanicized, Portuguese-style)","Júpiter m Roman Mythology (Hispanicized, Portuguese-style)Spanish and Portuguese form of Jupiter."
625,Jupiter,m,Roman Mythology (Anglicized),"Jupiter m Roman Mythology (Anglicized)From Latin Iuppiter, which was ultimately derived from the Indo-European *Dyeu-pater, composed of the elements Dyeus (see Zeus) and pater ""father"". Jupiter was the supreme god in Roman mythology. He presided over the heavens and light, and was responsible for the protection and laws of the Roman state. This is also the name of the fifth and largest planet in the solar system."
626,Juturna,f,Roman Mythology,Juturna f Roman MythologyMeaning unknown. Juturna was the Roman goddess of fountains and springs. According to Virgil she was the sister of Turnus.
627,Juventas,f,Roman Mythology,"Juventas f Roman MythologyMeans ""youth"" in Latin. Juventas was the Roman goddess of youth, equivalent to the Greek goddess Hebe."
628,Kadmos,m,Greek Mythology,Kadmos m Greek MythologyGreek form of Cadmus.
629,Kali 1,f,Hinduism,"Kali 1 f & m Hinduism, Bengali, TamilMeans ""the black one"" in Sanskrit. The Hindu goddess Kali is the fierce destructive form of the wife of Shiva. She is usually depicted with black skin and four arms, holding a severed head and brandishing a sword. As a personal name, it is generally masculine in India."
630,Kalliope,f,Greek Mythology,"Kalliope f Greek MythologyMeans ""beautiful voice"" from Greek κάλλος (kallos) meaning ""beauty"" and ὄψ (ops) meaning ""voice"". In Greek mythology she was a goddess of epic poetry and eloquence, one of the nine Muses."
631,Kallirrhoe,f,Greek Mythology,Kallirrhoe f Greek MythologyGreek form of Callirrhoe.
632,Kallisto,f,Greek Mythology,"Kallisto f Greek Mythology, Ancient GreekDerived from Greek κάλλιστος (kallistos) meaning ""most beautiful"", a derivative of καλός (kalos) meaning ""beautiful"". In Greek mythology Kallisto was a nymph who was loved by Zeus. She was changed into a she-bear by Hera, and subsequently became the Great Bear constellation. This was also an ancient Greek personal name."
633,Kalyani,f,Hinduism,"Kalyani f Hinduism, Indian, Telugu, Tamil, Malayalam, Kannada, Bengali, Marathi, HindiMeans ""beautiful, lovely, auspicious"" in Sanskrit. In the Hindu epic the Mahabharata this is the name of one of the Krittikas, or Pleiades. It is also another name of the Hindu goddess Parvati."
634,Kalypso,f,Greek Mythology,Kalypso f Greek MythologyGreek form of Calypso.
635,Kama,m,Hinduism,"Kama m HinduismMeans ""love, desire"" in Sanskrit. Kama is the winged Hindu god of love, the son of Lakshmi."
636,Kamakshi,f,Hinduism,"Kamakshi f Hinduism, Indian, HindiFrom Sanskrit काम (kama) meaning ""love, desire"" and अक्षि (akshi) meaning ""eye"". This is the name of a Hindu fertility goddess. She is considered to be an incarnation of Parvati."
637,Kamala,f,Hinduism,"Kamala f & m Hinduism, Tamil, Indian, Kannada, Telugu, Hindi, NepaliMeans ""lotus"" or ""pale red"" in Sanskrit. In Sanskrit this is a transcription of both the feminine form कमला and the masculine form कमल, though in modern languages it is only a feminine form. This is the name of one of the Krittikas, or Pleiades, in the Hindu epic the Mahabharata. It is also another name of the Hindu goddess Lakshmi."
638,Kāne,m,Polynesian Mythology,"Kāne m Polynesian MythologyMeans ""man"" in Hawaiian, a cognate of Tāne. In Hawaiian mythology Kāne was the creator god."
639,Kanti,f,Hinduism,"Kanti f & m Hinduism, Indian, Hindi, BengaliMeans ""beauty"" in Sanskrit. This is a transcription of both the feminine form कान्ती (another name of the Hindu goddess Lakshmi) and the masculine form कान्ति."
640,Kapila,m,Hinduism,"Kapila m HinduismMeans ""reddish brown"" in Sanskrit, derived from कपि (kapi) meaning ""monkey"". In the Hindu epic the Mahabharata this is the name of a sage who founded Samkhya philosophy and is identified with the god Vishnu."
641,Kára,f,Norse Mythology,"Kára f Norse MythologyProbably from Old Norse kárr meaning ""curly, curved"". In Norse legend this was the name of a valkyrie."
642,Karme,f,Greek Mythology,Karme f Greek MythologyGreek form of Carme 2.
643,Karna,m,Hinduism,"Karna m HinduismDerived from Sanskrit कर्ण (karna) meaning ""ear"". This is the name of the son of the Hindu sun god Surya and the goddess Kunti, who gave birth to him through her ear. He was a great warrior who joined the Kauravas to fight against his half-brothers the Pandavas, eventually becoming the king of Anga."
644,Karthikeyan,m,Tamil,"Karthikeyan m Tamil, HinduismTamil form of Kartikeya."
645,Kartikeya,m,Hinduism,"Kartikeya m HinduismFrom Sanskrit कृत्तिका (krittika), the name for the constellation of the Pleiades, ultimately from कृत् (krit) meaning ""to cut, to divide"". This is another name for the Hindu god Skanda."
646,Kassandra,f,Greek Mythology,"Kassandra f Greek Mythology, Ancient Greek, English (Modern)Greek form of Cassandra, as well as a modern English variant."
647,Kassiopeia,f,Greek Mythology,Kassiopeia f Greek MythologyGreek form of Cassiopeia.
648,Kastor,m,Greek Mythology,Kastor m Greek MythologyGreek form of Castor.
649,Kausalya,f,Hinduism,"Kausalya f HinduismMeans ""of the Kosala people"" in Sanskrit. Kosala was an ancient Indian kingdom that was at its most powerful in the 6th century BC. In Hindu legend Kausalya is the name of the mother of the hero Rama."
650,Kaveh,m,Persian,"Kaveh m Persian, Persian MythologyPossibly means ""royal"" in Avestan. In Persian mythology Kaveh is a blacksmith who leads a rebellion against the evil ruler Zahhak."
651,K'awiil,m,Mayan Mythology,"K'awiil m Mayan MythologyMeans ""powerful"" in Mayan. This is the name of the Maya god of lightning. He was sometimes depicted with one of his legs taking the form of a serpent."
652,Kay 2,m,Welsh Mythology,"Kay 2 m Welsh Mythology, Arthurian RomanceFrom the Welsh name Cai or Cei, possibly a form of the Roman name Gaius. Sir Kay was one of the Knights of the Round Table in Arthurian legend. He first appears in Welsh tales as a brave companion of Arthur. In later medieval tales, notably those by the 12th-century French poet Chrétien de Troyes, he is portrayed as an unrefined boor."
653,Kephalos,m,Greek Mythology,Kephalos m Greek MythologyGreek form of Cephalus.
654,Kepheus,m,Greek Mythology,Kepheus m Greek MythologyGreek form of Cepheus.
655,Kerberos,m,Greek Mythology,Kerberos m Greek MythologyGreek form of Cerberus.
656,Khnum,m,Egyptian Mythology,"Khnum m Egyptian MythologyFrom Egyptian ẖnmw (reconstructed as Khenmu or Khnemu), derived from ẖnm meaning ""to unite"". This was the name of an early Egyptian god associated with fertility, water and the Nile. He was often depicted as a man with the head of a ram, sometimes with a potter's wheel."
657,Khordad,f,Persian Mythology,Khordad f Persian MythologyModern Persian form of Haurvatat. This is the name of the third month in the Iranian calendar.
658,Khurshid,m,Persian,"Khurshid m & f Persian, Urdu, Persian MythologyModern Persian form of Avestan Hvare Khshaeta meaning ""shining sun"". In Zoroastrianism this was the name of a Yazata (or angel) who was associated with the sun."
659,Ki,f,Sumerian Mythology,"Ki f Sumerian MythologyMeans ""earth"" in Sumerian. This was the name of the Sumerian goddess of the earth, the consort of An."
660,Kirke,f,Greek Mythology,Kirke f Greek MythologyGreek form of Circe.
661,Kleio,f,Greek Mythology,"Kleio f Greek Mythology, GreekDerived from Greek κλέος (kleos) meaning ""glory"". In Greek mythology she was the goddess of history and heroic poetry, one of the nine Muses. She was said to have introduced the alphabet to Greece."
662,Klotho,f,Greek Mythology,"Klotho f Greek MythologyMeans ""spinner"" in Greek. In Greek mythology Klotho was one of the three Fates or Μοῖραι (Moirai). She was responsible for spinning the thread of life."
663,Klytaimnestra,f,Greek Mythology,Klytaimnestra f Greek MythologyGreek form of Clytemnestra.
664,Klytië,f,Greek Mythology,"Klytië f Greek MythologyDerived from Greek κλυτός (klytos) meaning ""famous, noble"". In Greek myth Klytië was an ocean nymph who loved the sun god Helios. Her love was not returned, and she pined away staring at him until she was transformed into a heliotrope flower, whose head moves to follow the sun."
665,Koios,m,Greek Mythology,"Koios m Greek MythologyPossibly derived from Greek κοῖος (koios), also spelled ποῖος (poios), a questioning word meaning approximately ""of what kind?"". This was the name of a Titan god of intelligence in Greek mythology."
666,Kore,f,Greek Mythology,"Kore f Greek MythologyMeans ""maiden"" in Greek. This was another name for the Greek goddess Persephone."
667,Korë,f,Greek Mythology,Korë f Greek MythologyAlternate transcription of Ancient Greek Κόρη (see Kore).
668,Koronis,f,Greek Mythology,"Koronis f Greek MythologyDerived from Greek κορώνη (korone) meaning ""crow"". This was the name of several figures from Greek mythology, including the mother of the god Asklepios."
669,Kratos,m,Greek Mythology,"Kratos m Greek Mythology, Popular CultureMeans ""power, strength"" in Greek. In Greek mythology this is the name of one of the children of Styx and Pallas.... [more]"
670,Kreios,m,Greek Mythology,"Kreios m Greek MythologyPossibly derived from either Greek κρείων (kreion) meaning ""lord, master"" or κριός (krios) meaning ""ram, male sheep"". This was the name of a Titan in Greek mythology."
671,Kriemhild,f,German (Rare),"Kriemhild f German (Rare), Germanic MythologyDerived from the Germanic elements grim ""mask"" and hild ""battle"". Kriemhild was a beautiful heroine in the Germanic saga the Nibelungenlied, where she is the sister of Günther and the wife of Siegfried. After her husband is killed by Hagen with the consent of Günther, Kriemhild tragically exacts her revenge."
672,Krishna,m,Hinduism,"Krishna m Hinduism, Indian, Hindi, Marathi, Bengali, Gujarati, Telugu, Tamil, Kannada, Malayalam, NepaliMeans ""black, dark"" in Sanskrit. This is the name of a Hindu god believed to be an incarnation of the god Vishnu. He was the youngest of King Vasudeva's eight children, six of whom were killed by King Kamsa because of a prophecy that a child of Vasudeva would kill Kamsa. Krishna however was saved and he eventually killed the king as well as performing many other great feats. In some Hindu traditions, Krishna is regarded as the supreme deity. He is usually depicted with blue skin."
673,Kronos,m,Greek Mythology,Kronos m Greek MythologyGreek form of Cronus.
674,Kshathra Vairya,m,Persian Mythology,Kshathra Vairya m Persian MythologyAncient Avestan form of Shahrivar.
675,Kukulkan,m,Mayan Mythology,"Kukulkan m Mayan MythologyMeans ""feathered serpent"" in Mayan. This is the name of snake god in Maya legend, roughly equivalent to Quetzalcoatl in Aztec mythology."
676,Kumara,m,Hinduism,"Kumara m HinduismDerived from Sanskrit कुमार (kumara) meaning ""boy, son"". In Hindu texts this is an epithet of both the fire god Agni and the war god Skanda."
677,Kumari,f,Hinduism,"Kumari f Hinduism, Indian, Hindi, TeluguFeminine form of Kumara. In the Hindu epic the Mahabharata Kumari is the wife of the warrior Bhima. This is also another name of the Hindu goddess Durga."
678,Kunti,f,Hinduism,"Kunti f HinduismMeans ""spear"" in Sanskrit. In the Hindu epic the Mahabharata this is the name of the mother of the Pandavas."
679,Kybele,f,Near Eastern Mythology (Hellenized),Kybele f Near Eastern Mythology (Hellenized)Ancient Greek form of Cybele.
680,Kyllikki,f,Finnish,"Kyllikki f Finnish, Finnish MythologyDerived from Finnish kyllä ""abundance"" or kyllin ""enough"". This is the name of a character in the Finnish epic the Kalevala."
681,Kynthia,f,Greek Mythology,Kynthia f Greek MythologyGreek form of Cynthia.
682,Lachesis,f,Greek Mythology,"Lachesis f Greek MythologyMeans ""apportioner"" in Greek. She was one of the three Fates or Μοῖραι (Moirai) in Greek mythology. She was responsible for deciding how long each person had to live."
683,Lada,f,Slavic Mythology,"Lada f Slavic Mythology, Czech, Russian, CroatianMeaning uncertain. This was the name of a Slavic fertility goddess. It can also be a diminutive of Vladislava or Vladimira."
684,Laima,f,Lithuanian,"Laima f Lithuanian, Latvian, Baltic MythologyFrom Latvian laime and Lithuanian laima, which mean ""luck, fate"". This was the name of the Latvian and Lithuanian goddess of fate, luck, pregnancy and childbirth. She was the sister of the goddesses Dēkla and Kārta, who were also associated with fate."
685,Laios,m,Greek Mythology,Laios m Greek MythologyGreek form of Laius.
686,Laius,m,Greek Mythology (Latinized),"Laius m Greek Mythology (Latinized)Latinized form of Greek Λάϊος (Laios), which is of unknown meaning. This was the name of a king of Thebes in Greek mythology, the husband of Jocasta. Due to a prophecy that he would be killed by his son, Laius left his infant Oedipus for dead. The boy survived but was ignorant of his true parentage. Years later he unwittingly killed Laius in a quarrel on the road."
687,Lakshmana,m,Hinduism,"Lakshmana m HinduismMeans ""having lucky marks"" in Sanskrit. In the Hindu epic the Ramayana he is the trusted companion of the hero Rama, accompanying him into exile."
688,Lakshmi,f,Hinduism,"Lakshmi f & m Hinduism, Indian, Telugu, Kannada, Tamil, Malayalam, Marathi, Hindi, OdiaMeans ""sign, mark"" in Sanskrit. This is the name of the Hindu goddess of prosperity, good luck, and beauty. She is the wife of Vishnu and her symbol is the lotus flower, with which she is often depicted."
689,Lalita,f,Hinduism,"Lalita f Hinduism, Indian, Hindi, MarathiMeans ""playful, charming, desirable"" in Sanskrit. In Hindu belief this is the name of one of the playmates of the young Krishna. It is also another name of the goddess Parvati."
690,Lamia 2,f,Greek Mythology,"Lamia 2 f Greek MythologyPossibly from Greek λαιμός (laimos) meaning ""throat"". In Greek mythology this is the name of a queen of Libya who was a mistress of Zeus. Hera, being jealous, kills Lamia's children, causing her to go mad and transform into a monster that hunts the children of others."
691,Laocoön,m,Greek Mythology (Latinized),"Laocoön m Greek Mythology (Latinized)From Greek Λαοκόων (Laokoon), derived from λαός (laos) meaning ""people"" and ἀκούω (akouo) meaning ""to hear"". In Greek mythology this was the name of a Trojan priest who warned against accepting the wooden horse left by the Greeks. He and his sons were strangled by sea serpents sent by the gods."
692,Laokoon,m,Greek Mythology,Laokoon m Greek MythologyGreek form of Laocoön.
693,Lara 2,f,Roman Mythology,Lara 2 f Roman MythologyVariant of Larunda.
694,Larisa,f,Russian,"Larisa f Russian, Ukrainian, Romanian, Latvian, Lithuanian, Slovene, Greek MythologyPossibly derived from the name of the ancient city of Larisa in Thessaly, which meant ""citadel"". In Greek legends, the nymph Larisa was either a daughter or mother of Pelasgus, the ancestor of the mythical Pelasgians. This name was later borne by a 4th-century Greek martyr who is venerated as a saint in the Eastern Church. The name (of the city, nymph and saint) is commonly Latinized as Larissa, with a double s. As a Ukrainian name, it is more commonly transcribed Larysa."
695,Larissa,f,English,"Larissa f English, German, Portuguese (Brazilian), Greek Mythology (Latinized)Variant of Larisa. It has been commonly used as an English given name only since the 20th century, as a borrowing from Russian. In 1991 this name was given to one of the moons of Neptune, in honour of the mythological character."
696,Larunda,f,Roman Mythology,"Larunda f Roman MythologyPossibly connected to Greek λαλέω (laleo) meaning ""to talk, to chatter"", or the Latin term Lares referring to minor guardian gods. In Roman mythology Larunda or Lara was a water nymph who was overly talkative. She revealed to Juno that her husband Jupiter was having an affair with Juturna, so Jupiter had Larunda's tongue removed. By the god Mercury she had two children, who were Lares."
697,Latona,f,Roman Mythology,Latona f Roman MythologyLatin form of Leto.
698,Lauma,f,Latvian,"Lauma f Latvian, Baltic MythologyMeaning unknown. In Latvian mythology this is the name of a forest spirit sometimes associated with childbirth and weaving."
699,Laverna,f,Roman Mythology,Laverna f Roman MythologyMeaning unknown. Laverna was the Roman goddess of thieves and thievery.
700,Lavinia,f,Roman Mythology,"Lavinia f Roman Mythology, RomanianMeaning unknown, probably of Etruscan origin. In Roman legend Lavinia was the daughter of King Latinus, the wife of Aeneas, and the ancestor of the Roman people. According to the legend Aeneas named the town of Lavinium in honour of his wife."
701,Leander,m,Greek Mythology (Latinized),"Leander m Greek Mythology (Latinized)Latinized form of the Greek name Λέανδρος (Leandros), derived from λέων (leon) meaning ""lion"" and ἀνήρ (aner) meaning ""man"" (genitive ἀνδρός). In Greek legend Leander was the lover of Hero. Every night he swam across the Hellespont to meet her, but on one occasion he was drowned when a storm arose. When Hero saw his dead body she threw herself into the waters and perished."
702,Leandros,m,Greek Mythology,Leandros m Greek MythologyGreek form of Leander.
703,Lech,m,Polish,"Lech m Polish, Slavic MythologyFrom the name of the Slavic tribe the Lendians, called the Lędzianie in Polish. According to Slavic legend this was the name of the founder of the Polish people. A famous bearer was the Polish president Lech Wałęsa (1943-)."
704,Leda,f,Greek Mythology,"Leda f Greek MythologyMeaning unknown. In Greek myth she was the mother of Castor, Pollux, Helen and Clytemnestra by the god Zeus, who came upon her in the form of a swan."
705,Leigong,m,Chinese Mythology,"Leigong m Chinese MythologyMeans ""lord of thunder"", from Chinese 雷 (léi) meaning ""thunder"" and 公 (gōng) meaning ""lord, prince"". This is the name of a Chinese thunder god."
706,Lemminkäinen,m,Finnish Mythology,"Lemminkäinen m Finnish MythologyMeaning unknown, possibly related to Finnish lempi ""love"". In the Finnish epic the Kalevala this is the name of an arrogant hero. After he was killed his mother fetched his body from the River of Death and restored him to life. He is sometimes identified with the god Ahti."
707,Ler,m,Irish Mythology,"Ler m Irish MythologyIrish cognate of Llyr. Ler was an Irish god of the sea, the father of Manannan mac Lir."
708,Leto,f,Greek Mythology,"Leto f Greek MythologyPossibly from Lycian lada meaning ""wife"". Other theories connect it to Greek λήθω (letho) meaning ""hidden, forgotten"". In Greek mythology she was the mother of Apollo and Artemis by Zeus."
709,Leucippus,m,Ancient Greek (Latinized),"Leucippus m Ancient Greek (Latinized), Greek Mythology (Latinized)Latinized form of Leukippos."
710,Leukippos,m,Ancient Greek,"Leukippos m Ancient Greek, Greek MythologyMeans ""white horse"", derived from Greek λευκός (leukos) meaning ""white, bright"" and ἵππος (hippos) meaning ""horse"". This name was borne by a 5th-century BC Greek philosopher, as well as by several characters in Greek mythology."
711,Levana 2,f,Roman Mythology,"Levana 2 f Roman MythologyFrom Latin levare meaning ""to raise, to lift"". This was the name of a Roman goddess associated with newborn babies and the rituals of childbirth."
712,Liber,m,Roman Mythology,"Liber m Roman MythologyDerived from Latin liber meaning ""free"". This was the name of a Roman fertility god, often identified with Dionysus."
713,Libitina,f,Roman Mythology,"Libitina f Roman MythologyMeaning unknown. Libitina was the Roman goddess of funerals, corpses and death."
714,Ligeia,f,Greek Mythology,"Ligeia f Greek Mythology, Ancient GreekDerived from Greek λιγύς (ligys) meaning ""clear-voiced, shrill, whistling"". This was the name of one of the Sirens in Greek legend. It was also used by Edgar Allan Poe in his story Ligeia (1838)."
715,Lilith,f,Semitic Mythology,"Lilith f Semitic Mythology, Judeo-Christian LegendDerived from Akkadian lilitu meaning ""of the night"". This was the name of a demon in ancient Assyrian myths. In Jewish tradition she was Adam's first wife, sent out of Eden and replaced by Eve because she would not submit to him. The offspring of Adam (or Samael) and Lilith were the evil spirits of the world."
716,Linos,m,Greek Mythology,"Linos m Greek Mythology, Ancient GreekGreek form of Linus."
717,Linus,m,Greek Mythology (Latinized),"Linus m Greek Mythology (Latinized), Ancient Greek (Latinized), Swedish, Norwegian, Danish, GermanFrom the Greek name Λίνος (Linos) meaning ""flax"". In Greek legend he was the son of the god Apollo, who accidentally killed him in a contest. Another son of Apollo by this name was the music teacher of Herakles. The name was also borne by the second pope, serving after Saint Peter in the 1st century. In modern times this was the name of a character in Charles Schulz's comic strip Peanuts."
718,Lir,m,Irish Mythology (Anglicized),Lir m Irish Mythology (Anglicized)Variant of Ler based on the genitive case of the name.
